Artists,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Future ,Too Comfortable,0biVzpdI2z0vAxwfU9xuuA,0.935,0.472,3,-9.304,0,0.0575,0.0455,0.0,0.19,0.659,130.041
Big Sean ,Full Circle,4Na2Xo5yQCr5ucwfg8EGIQ,0.549,0.931,11,-3.458,0,0.176,0.392,0.0,0.101,0.566,82.142
The Beatles ,Something  Remastered 2009,0pNeVovbiZHkulpGeOx1Gj,0.396,0.338,0,-10.872,1,0.0304,0.198,2.62e-06,0.138,0.377,133.522
Polo G ,Heating Up,3hnKhjXwyRyRV8JviQXgB5,0.659,0.64,10,-7.863,0,0.361,0.0121,0.0,0.352,0.753,173.907
Kehlani ,Footsteps,4k6hX9RKD096K1NCjjJZLc,0.42,0.638,2,-4.212,1,0.209,0.817,0.0,0.371,0.478,88.546
Megan Thee Stallion ,Eat It,4V5Dv8IjHNTk2YJzU9vgsW,0.843,0.671,10,-5.708,0,0.22,0.0517,0.0,0.286,0.56,137.932
Myke Towers ,Bandido,1xK1Gg9SxG8fy2Ya373oqb,0.713,0.617,8,-4.637,1,0.0887,0.122,0.0,0.0962,0.682,168.021
Marc E. Bassy ,Morning,54Yappwod1fELR5zb2gDBn,0.462,0.438,10,-8.227,1,0.0953,0.563,0.0,0.181,0.342,107.364
Lil Tecca ,ABOUT YOU,098a0ODkRj8IUbEGVZMsyN,0.743,0.617,0,-7.008,1,0.0656,0.154,0.0,0.0692,0.453,86.965
Labrinth ,Still Don't Know My Name,6N22FZs2ZhPBYi3b9XPajV,0.316,0.63,5,-5.963,1,0.117,0.471,0.262,0.205,0.313,89.643
Demi Lovato ,Ruin The Friendship,6VcOObtzWB2dopP4dC8G6x,0.779,0.468,8,-6.842,0,0.254,0.13,2.62e-05,0.106,0.553,77.978
Logic ,Keanu Reeves,3PYx9Wte3jwb48V0wArMOy,0.712,0.891,2,-6.457,1,0.24,0.0557,0.0,0.134,0.799,170.13
One Direction ,Infinity,6N5xh0tYYLTQRiCCaNbAUt,0.537,0.705,4,-6.073,1,0.0337,0.0687,0.0,0.0842,0.32,131.965
Kanye West ,All Falls Down,5SkRLpaGtvYPhw02vZhQQ9,0.657,0.734,8,-4.832,0,0.484,0.149,0.0,0.139,0.434,91.03
Rick Ross ,Act a Fool,045JWx32CaSDOpUACXaxWE,0.599,0.81,10,-4.062,0,0.126,0.0133,0.0,0.35,0.441,157.856
Panic! At The Disco ,The Overpass,4hUR3thIs01mQUtVmZFJ8F,0.517,0.955,10,-1.848,0,0.167,0.0224,0.0,0.364,0.61,132.951
Juice WRLD ,Juice WRLD Speaks From Heaven  Outro,1OjiYjgPZyxS0AiXiSnuYI,0.392,0.373,0,-14.097,1,0.0968,0.991,0.0978,0.545,0.519,121.678
PARTYNEXTDOOR ,BELIEVE IT,6WHZvtFnceMMv08gUCHR0y,0.431,0.7,6,-5.35,1,0.265,0.0901,0.0,0.216,0.73,157.871
6LACK ,PRBLMS,4AtZRwSR8BOTTQg5ihSggt,0.417,0.58,9,-4.574,1,0.207,0.0307,1.45e-06,0.179,0.139,68.58
ScHoolboy Q ,Floating,4NN6N5TxBO5k9uqu0W4gfQ,0.906,0.545,11,-4.977,0,0.344,0.181,0.0,0.091,0.543,139.932
Eminem ,River,1cS0TgbR263ey9jn0MwD2s,0.748,0.749,8,-5.916,0,0.516,0.142,0.0,0.0713,0.659,90.09
Mike Posner ,I Took A Pill In Ibiza  Seeb Remix,0vbtURX4qv1l7besfwmnD8,0.664,0.714,7,-6.645,0,0.111,0.0353,8.42e-06,0.0843,0.71,101.969
Bruno Mars ,Chunky,0mBKv9DkYfQHjdMcw2jdyI,0.571,0.539,5,-4.446,0,0.116,0.0208,0.0,0.125,0.727,202.103
